# ASR reference measurements, MLX engine. One machine, one OS, one set of dependency versions.
# Machine: Apple M5 (24 GB), macOS 26.6.2, Swift 6.2, speech built -c release,
# speech-mlx built Release through xcodebuild, mlx-audio-swift 0.1.3, mlx-swift 0.31.6,
# helper buffer pool bounded at 512 MB (its default). Produced by `speech eval --report`.
#
# Companion to measurements-2026-09-05.tsv, which holds the apple, fluid and ggml rows:
# same corpora, same full splits, same scorer, same peak_memory_bytes instrument, so a
# cell here is directly comparable to a cell there.
#
# THESE ROWS ARE MEASURED, NOT OFFERED. Every one of them is matched or beaten by a ggml
# row built from the same weights, at about a third of the memory, so stage 4B's gate
# fails and the MLX engine stays as an instrument. The numbers are kept so that the next
# run, when mlx-audio-swift moves, is a comparison rather than a fresh start.
#
# These are a starting reference point, not the truth on any other machine. Speech.app
# re-measures locally; see the benchmarking section of the development plan.
#
id	language	corpus	utterances	wer	cer	rtfx	peak_memory_bytes	load_seconds	machine	os	date
mlx.parakeet-tdt_ctc-110m	en	fleurs/en_us	647	8.63	4.95	252.6	1219807080	0.15	Apple M5	26.6.2	2026-09-07
mlx.parakeet-tdt-0.6b-v3	en	fleurs/en_us	647	5.38	2.31	111.1	3930246888	0.47	Apple M5	26.6.2	2026-09-07
mlx.parakeet-tdt-0.6b-v3	pl	fleurs/pl_pl	758	7.38	2.29	98.1	3931524960	0.22	Apple M5	26.6.2	2026-09-07
mlx.parakeet-tdt-0.6b-v3	de	fleurs/de_de	862	5.18	1.54	113.3	3935637248	0.48	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@4bit	en	fleurs/en_us	647	4.89	2.45	19.3	3076950968	0.52	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@4bit	pl	fleurs/pl_pl	758	21.77	8.60	13.5	3030813720	0.52	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@4bit	de	fleurs/de_de	862	6.10	2.10	18.4	3225865168	0.52	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@8bit	en	fleurs/en_us	647	4.11	1.81	13.7	3910635120	0.76	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@8bit	pl	fleurs/pl_pl	758	17.43	6.68	9.0	3890253400	0.64	Apple M5	26.6.2	2026-09-07
mlx.qwen3-asr-1.7b@8bit	de	fleurs/de_de	862	5.07	1.84	12.9	4082126544	0.64	Apple M5	26.6.2	2026-09-07
mlx.whisper-large-v3-turbo	en	fleurs/en_us	647	4.92	2.11	10.5	3611412952	0.37	Apple M5	26.6.2	2026-09-07
mlx.whisper-large-v3-turbo	pl	fleurs/pl_pl	758	5.82	1.98	8.1	3608250912	0.38	Apple M5	26.6.2	2026-09-07
mlx.whisper-large-v3-turbo	de	fleurs/de_de	862	4.54	1.45	11.7	3622373944	0.38	Apple M5	26.6.2	2026-09-07
